chunk_idx | page_num | title
----------------------------------------------------------------------
        0 |        1 | (无)
        1 |        2 | 1. 本指南适用于全体在读本科生，各院系可在学校规定基础上
        2 |        2 | 2. 本指南收集了同学们在日常学习中遇到的共性问题。同学们
        3 |        2 | 3. 本指南的问题及解答内容可能会随着相关规定和培养方案等
        4 |        2 | 4. 本指南也可供教职员工参考。
        5 |        2 | 5. 本指南所有内容的解释权归北京化工大学教务处。
        6 |        4 | 1. 什么是专业培养方案和专业培养计划？
        7 |        4 | 2. 如何查询自己的专业培养方案？
        8 |        5 | 4. 大类培养计划和专业培养计划的关系？
        9 |        5 | 5. 需要修读多少学分才能毕业？
       10 |        6 | 7. 学籍异动学生执行哪个年级的培养计划？
       11 |        6 | 8. 什么是新生研讨课？
       12 |        6 | 9. 什么是高年级研讨课？
       13 |        7 | 10. 什么是素质教育核心课程或高端素质教育课？
       14 |        7 | 11. 培养计划中对素质教育课程有哪些基本的修读要求？
       15 |        7 | 12. 如何查询自己修读课程的课程大纲？
       16 |        8 | 13. 如何打印出国用课程大纲或课程介绍？
       17 |        9 | 14. 每学期有几次选课机会？
       18 |        9 | 15. 选课的时间如何安排？
       19 |        9 | 16. 选课有门数限制或者学分限制吗？
